id,review_count,value
CA-AB,109274,3.324234047
US-AK,3,2.5
US-AL,15,3.833333333
US-AR,59,3.5
US-AZ,2403606,3.646982879
CA-BC,6,1.5
US-CA,363,3.847826087
US-CO,44,2.25
US-CT,13,4.5
US-FL,32,2.666666667
US-GA,25,2.833333333
US-HI,51,2
US-IL,46091,3.391838741
US-MB,34,4
US-MI,25,3.5
US-MO,5,2.5
US-NC,491269,3.490812677
US-NE,22,2.75
US-NV,2702841,3.654782008
US-NY,308,3.25
US-OH,375470,3.457814788
CA-ON,883306,3.322821962
US-OR,9,2.5
US-PA,341313,3.549127343
CA-QC,204199,3.607739666
US-SC,27406,3.46875
US-TX,1106,3.083333333
US-UT,10,3.25
US-VA,27,1.5
US-VT,10,4
US-WA,32,2.8
US-WI,147463,3.573846154
